Client-Side Framework,Content Management System,Database,Programming Language,Server Operating System,Server-Side Framework,Video Service,Web Server
Bootstrap,Django,MySQL,Python,Linux,Django,None,Apache
Bootstrap;JQuery;JQuery Mobile;RequireJS,Sitecore,Microsoft SQL Server,C#,Windows,ASP.NET MVC,None,IIS 7.5
JQuery,Drupal,MySQL,PHP,Linux,Drupal,Zencoder,Apache
Bootstrap;VideoJS;JQuery,Ruby on Rails,PostgreSQL,Ruby,Linux,Ruby on Rails,Zencoder,Apache
Bootstrap;JQuery,Sitecore,Oracle SQL Server,C#,Windows,ASP.NET MVC,None,IIS 7
Bootstrap;JQuery;VideoJS,Sitecore,MySQL,C#,Windows,ASP.NET Web Forms,Zencoder,IIS 7.5
JQuery,OpenCMS,MySQL,Java,Linux,None,None,Tomcat
JQuery;VideoJS;Bootstrap,Liferay,PostgreSQL,Java,Linux,None,Zencoder,Tomcat
Bootstrap;VideoJS;JQuery,Drupal,CouchDB,PHP,Linux,Drupal,Zencoder,Apache
Bootstrap;JQuery;VideoJS,CakePHP,MySQL,PHP,Linux,CakePHP,None,Apache
